timestamp,gvl,variable,value,source
2026-03-20 10:01:11.990,gvl_C,bReferenceSwitch_C_vertical,True,poll
2026-03-20 10:01:11.990,gvl_C,bReferenceSwitch_C_horizontal,False,poll
2026-03-20 10:01:11.990,gvl_C,bReferenceSwitch_C_rotate,False,poll
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_vertical1,False,poll
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_vertical2,True,poll
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_horizontal1,False,poll
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_horizontal2,True,poll
2026-03-20 10:01:12.013,gvl_C,bReferenceSwitch_C_vertical,True,event
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_rotate1,True,poll
2026-03-20 10:01:11.990,gvl_C,bEncoderImpulse_C_rotate2,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_upward,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_downward,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_backward,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_forward,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_clockwise,False,poll
2026-03-20 10:01:11.990,gvl_C,bMotor_C_counterclockwise,False,poll
2026-03-20 10:01:11.990,gvl_C,bCompressor_C,False,poll
2026-03-20 10:01:11.990,gvl_C,bValve_C,False,poll
2026-03-20 10:01:11.990,gvl_HBW,bReferenceSwitch_HBW_horizontal,True,poll
2026-03-20 10:01:11.990,gvl_HBW,bLightBarrier_HBW_inside,True,poll
2026-03-20 10:01:11.990,gvl_HBW,bLightBarrier_HBW_outside,True,poll
2026-03-20 10:01:11.990,gvl_HBW,bReferenceSwitch_HBW_vertical,False,poll
2026-03-20 10:01:11.990,gvl_HBW,bReferenceSwitch_HBW_Cantilever_front,False,poll
2026-03-20 10:01:11.990,gvl_HBW,bReferenceSwitch_HBW_Cantilever_back,False,poll
2026-03-20 10:01:11.990,gvl_HBW,bTrailSensor_HBW_bottom,True,poll
2026-03-20 10:01:11.990,gvl_HBW,bTrailSensor_HBW_top,True,poll
2026-03-20 10:01:11.990,gvl_HBW,bEncoderImpulse_HBW_horizontal1,False,poll
